id,name,variant,price,brand,image_name,image_url,category
100005-21000_70210,Ballerina Barcelona,taupe,99.99,gerry weber,ballerina-barcelona-02.jpg,https://pic.gerryweber.com/static/i/1_100005-21000_70210_02/pdmain/ballerina-barcelona-02.jpg,Schuhe
100007-21000_90207,Plateausandale Doris,hartweiss,99.99,gerry weber,plateausandale-doris-02.jpg,https://pic.gerryweber.com/static/i/1_100007-21000_90207_02/pdmain/plateausandale-doris-02.jpg,Schuhe
100008-21000_90207,Sandalette Ilona,hartweiss,89.99,gerry weber,sandalette-ilona-02.jpg,https://pic.gerryweber.com/static/i/1_100008-21000_90207_02/pdmain/sandalette-ilona-02.jpg,Schuhe
100009-21000_70303,Pantolette Adera,cognac,89.99,gerry weber,pantolette-adera-02.jpg,https://pic.gerryweber.com/static/i/1_100009-21000_70303_02/pdmain/pantolette-adera-02.jpg,Schuhe
100010-21000_90207,Sandale Flip Flop,hartweiss,89.99,gerry weber,sandale-flip-flop-02.jpg,https://pic.gerryweber.com/static/i/1_100010-21000_90207_02/pdmain/sandale-flip-flop-02.jpg,Schuhe
100011-21000_11000,Riemensandale Ilona,schwarz,99.99,gerry weber,riemensandale-ilona-02.jpg,https://pic.gerryweber.com/static/i/1_100011-21000_11000_02/pdmain/riemensandale-ilona-02.jpg,Schuhe
102063-21011_70426,Rucksack Talk Different,cappuccino,69.99,gerry weber,rucksack-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_102063-21011_70426_01/pdmain/rucksack-talk-different-01.jpg,Tasche
102063-21011_80486,Rucksack Talk Different,light blue,69.99,gerry weber,rucksack-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_102063-21011_80486_01/pdmain/rucksack-talk-different-01.jpg,Tasche
102064-21011_70426,Saddle-Bag Talk Different,cappuccino,39.99,gerry weber,saddle-bag-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_102064-21011_70426_01/pdmain/saddle-bag-talk-different-01.jpg,Tasche
102064-21011_80486,Saddle-Bag Talk Different,light blue,39.99,gerry weber,saddle-bag-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_102064-21011_80486_01/pdmain/saddle-bag-talk-different-01.jpg,Tasche
130226-44719_11000,Offene Strickjacke,schwarz,59.99,gerry weber,offene-strickjacke-01.jpg,https://pic.gerryweber.com/static/i/1_130226-44719_11000_01/pdmain/offene-strickjacke-01.jpg,Oberteile
130226-44719_50877,Offene Strickjacke,bottle green,49.99,gerry weber,offene-strickjacke-01.jpg,https://pic.gerryweber.com/static/i/1_130226-44719_50877_01/pdmain/offene-strickjacke-01.jpg,Oberteile
130226-44719_702300,Offene Strickjacke,kamel melange,59.99,gerry weber,offene-strickjacke-01.jpg,https://pic.gerryweber.com/static/i/1_130226-44719_702300_01/pdmain/offene-strickjacke-01.jpg,Oberteile
170129-44122_11000,Longsleeve mit Innenpaspel,schwarz,39.99,gerry weber,longsleeve-mit-innenpaspel-01.jpg,https://pic.gerryweber.com/static/i/1_170129-44122_11000_01/pdmain/longsleeve-mit-innenpaspel-01.jpg,Sonstiges
170129-44122_60266,Longsleeve mit Innenpaspel,tabasco,49.99,gerry weber,longsleeve-mit-innenpaspel-01.jpg,https://pic.gerryweber.com/static/i/1_170129-44122_60266_01/pdmain/longsleeve-mit-innenpaspel-01.jpg,Sonstiges
170155-44115_1058,dreiviertel Arm Shirt mit feinem Allovermuster,"schwarz, grün druck",29.99,gerry weber,34-arm-shirt-mit-feinem-allovermuster-01.jpg,https://pic.gerryweber.com/static/i/1_170155-44115_1058_01/pdmain/34-arm-shirt-mit-feinem-allovermuster-01.jpg,Oberteile
170155-44115_5078,dreiviertel Arm Shirt mit feinem Allovermuster,"grün, braun druck",39.99,gerry weber,34-arm-shirt-mit-feinem-allovermuster-01.jpg,https://pic.gerryweber.com/static/i/1_170155-44115_5078_01/pdmain/34-arm-shirt-mit-feinem-allovermuster-01.jpg,Oberteile
170563-44719_702300,Longpullover,kamel melange,69.99,gerry weber,longpullover-01.jpg,https://pic.gerryweber.com/static/i/1_170563-44719_702300_01/pdmain/longpullover-01.jpg,Oberteile
240300-31180_40199,Gesteppte Weste,sonnenblume,89.99,gerry weber,gesteppte-weste-01.jpg,https://pic.gerryweber.com/static/i/1_240300-31180_40199_01/pdmain/gesteppte-weste-01.jpg,Jacken
240300-31180_60661,Gesteppte Weste,merlot,69.99,gerry weber,gesteppte-weste-01.jpg,https://pic.gerryweber.com/static/i/1_240300-31180_60661_01/pdmain/gesteppte-weste-01.jpg,Jacken
302067-21011_11000,Umhängetasche Talk Different,schwarz,39.99,gerry weber,umhaengetasche-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_302067-21011_11000_01/pdmain/umhaengetasche-talk-different-01.jpg,Tasche
302067-21011_30620,Umhängetasche Talk Different,mauve,29.99,gerry weber,umhaengetasche-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_302067-21011_30620_01/pdmain/umhaengetasche-talk-different-01.jpg,Tasche
302067-21011_86600,Umhängetasche Talk Different,dunkelblau,39.99,gerry weber,umhaengetasche-talk-different-01.jpg,https://pic.gerryweber.com/static/i/1_302067-21011_86600_01/pdmain/umhaengetasche-talk-different-01.jpg,Tasche
