FileName,images,loc,ean,name,variant,price,category,description,MPN
11_371067-19692_99700-kurzarmshirt-mit-jacquardmuster.txt,"https://pic.gerryweber.com/static/i/11_371067-19692_99700_01/pdmain/kurzarmshirt-mit-jacquardmuster-01.jpg,https://pic.gerryweber.com/static/i/11_371067-19692_99700_02/pdmain/kurzarmshirt-mit-jacquardmuster-02.jpg,https://pic.gerryweber.com/static/i/11_371067-19692_99700_03/pdmain/kurzarmshirt-mit-jacquardmuster-03.jpg,https://pic.gerryweber.com/static/i/11_371067-19692_99700_100/pdmain/kurzarmshirt-mit-jacquardmuster-100.jpg",https://www.gerryweber.com/de-de/p/11_371067-19692_99700-kurzarmshirt-mit-jacquardmuster/,4049598155262,"Kurzarmshirt mit Jacquardmuster",Off-white,49.99,Kurzarmshirts,"Lassen Sie sich von dem angenehmen Tragekomfort dieses Shirts überzeugen. Der Struktur-Jersey mit floralem Jacquardmuster ist ein echter Hingucker!",371067-19692_99700
11_371097-19694_8102-34-arm-shirt-mit-allover-punkte-print.txt,"https://pic.gerryweber.com/static/i/11_371097-19694_8102_01/pdmain/34-arm-shirt-mit-allover-punkte-print-01.jpg,https://pic.gerryweber.com/static/i/11_371097-19694_8102_02/pdmain/34-arm-shirt-mit-allover-punkte-print-02.jpg,https://pic.gerryweber.com/static/i/11_371097-19694_8102_03/pdmain/34-arm-shirt-mit-allover-punkte-print-03.jpg,https://pic.gerryweber.com/static/i/11_371097-19694_8102_100/pdmain/34-arm-shirt-mit-allover-punkte-print-100.jpg",https://www.gerryweber.com/de-de/p/11_371097-19694_8102-34-arm-shirt-mit-allover-punkte-print/,4049598115631,"3/4 Arm Shirt mit Allover-Punkte-Print","Navy Gemustert",29.99,"3/4 Arm Shirts","Mit seinem Allover-Punkte-Print in Multicolor-Optik setzt sich dieses Shirt lebendig in Szene. Schönes Detail: Die Raffung am 3/4 Arm.",371097-19694_8102
11_381042-19669_1102-slinkykleid-mit-floral-print.txt,"https://pic.gerryweber.com/static/i/11_381042-19669_1102_01/pdmain/slinkykleid-mit-floral-print-01.jpg,https://pic.gerryweber.com/static/i/11_381042-19669_1102_02/pdmain/slinkykleid-mit-floral-print-02.jpg,https://pic.gerryweber.com/static/i/11_381042-19669_1102_03/pdmain/slinkykleid-mit-floral-print-03.jpg,https://pic.gerryweber.com/static/i/11_381042-19669_1102_100/pdmain/slinkykleid-mit-floral-print-100.jpg",https://www.gerryweber.com/de-de/p/11_381042-19669_1102-slinkykleid-mit-floral-print/,4049598160198,"Slinkykleid mit Floral-Print","Black gemustert",89.99,"Knieumspielende Kleider","Zaubert eine feminine Silhouette: Das fließende Slinkykleid mit floralem Allover-Print zeigt sich taillenbetont mit schwingendem Rockteil.",381042-19669_1102
11_420014-19101_83500-jeans-boyfriend-ts.txt,"https://pic.gerryweber.com/static/i/11_420014-19101_83500_01/pdmain/jeans-boyfriend-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420014-19101_83500_02/pdmain/jeans-boyfriend-ts-02.jpg,https://pic.gerryweber.com/static/i/11_420014-19101_83500_03/pdmain/jeans-boyfriend-ts-03.jpg",https://www.gerryweber.com/de-de/p/11_420014-19101_83500-jeans-boyfriend-ts/,4049598205820,"Jeans Boyfriend TS","Blue Denim",89.99,Jeans,"Der lässige Sitz mit niedriger Taille und sichtbarer Knopfleiste sowie die Washed-Out-Effekte machen die Boyfriend-Jeans perfekt für Casual Outfits.",420014-19101_83500
11_420018-19095_1100-jeans-mit-saumaufschlag-skinny-ts.txt,"https://pic.gerryweber.com/static/i/11_420018-19095_1100_01/pdmain/jeans-mit-saumaufschlag-skinny-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_02/pdmain/jeans-mit-saumaufschlag-skinny-ts-02.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_03/pdmain/jeans-mit-saumaufschlag-skinny-ts-03.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_100/pdmain/jeans-mit-saumaufschlag-skinny-ts-100.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_101/pdmain/jeans-mit-saumaufschlag-skinny-ts-101.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_1100_102/pdmain/jeans-mit-saumaufschlag-skinny-ts-102.jpg",https://www.gerryweber.com/de-de/p/11_420018-19095_1100-jeans-mit-saumaufschlag-skinny-ts/,4049598205905,"Jeans mit Saumaufschlag Skinny TS",Black,79.99,Jeans,"Die Skinny-Jeans mit breiten Saumaufschlägen begeistert die Fashionistas und sorgt dank Stretchanteil für einen perfekten Sitz. Die cleane Färbung ohne Wasch-Effekte macht sie zum vielseitigen Kombipartner, egal ob in der Freizeit oder im Büro.",420018-19095_1100
11_420018-19095_85300-jeans-mit-saumaufschlag-skinny-ts.txt,"https://pic.gerryweber.com/static/i/11_420018-19095_85300_01/pdmain/jeans-mit-saumaufschlag-skinny-ts-01.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_02/pdmain/jeans-mit-saumaufschlag-skinny-ts-02.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_03/pdmain/jeans-mit-saumaufschlag-skinny-ts-03.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_100/pdmain/jeans-mit-saumaufschlag-skinny-ts-100.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_101/pdmain/jeans-mit-saumaufschlag-skinny-ts-101.jpg,https://pic.gerryweber.com/static/i/11_420018-19095_85300_102/pdmain/jeans-mit-saumaufschlag-skinny-ts-102.jpg",https://www.gerryweber.com/de-de/p/11_420018-19095_85300-jeans-mit-saumaufschlag-skinny-ts/,4049598205998,"Jeans mit Saumaufschlag Skinny TS","Blue Denim",79.99,Jeans,"Die Skinny-Jeans mit breiten Saumaufschlägen begeistert die Fashionistas und sorgt dank Stretchanteil für einen perfekten Sitz. Die cleane Färbung ohne Wasch-Effekte macht sie zum vielseitigen Kombipartner, egal ob in der Freizeit oder im Büro.",420018-19095_85300
11_471059-19674_6012-langarmshirt-mit-animal-print.txt,"https://pic.gerryweber.com/static/i/11_471059-19674_6012_01/pdmain/langarmshirt-mit-animal-print-01.jpg,https://pic.gerryweber.com/static/i/11_471059-19674_6012_02/pdmain/langarmshirt-mit-animal-print-02.jpg,https://pic.gerryweber.com/static/i/11_471059-19674_6012_03/pdmain/langarmshirt-mit-animal-print-03.jpg,https://pic.gerryweber.com/static/i/11_471059-19674_6012_100/pdmain/langarmshirt-mit-animal-print-100.jpg,https://pic.gerryweber.com/static/i/11_471059-19674_6012_101/pdmain/langarmshirt-mit-animal-print-101.jpg,https://pic.gerryweber.com/static/i/11_471059-19674_6012_102/pdmain/langarmshirt-mit-animal-print-102.jpg",https://www.gerryweber.com/de-de/p/11_471059-19674_6012-langarmshirt-mit-animal-print/,4049598226719,"Langarmshirt mit Animal-Print","Ruby Wine gemustert",29.99,Langarmshirts,"Das Shirt mit angesagtem Animal-Print setzt Jeans und Co. perfekt in Szene. Durch die Farbgebung wird das Shirt zum originellen Eyecatcher.",471059-19674_6012
11_471060-19676_1100-34-arm-shirt-mit-chiffon.txt,"https://pic.gerryweber.com/static/i/11_471060-19676_1100_01/pdmain/34-arm-shirt-mit-chiffon-01.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_1100_02/pdmain/34-arm-shirt-mit-chiffon-02.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_1100_03/pdmain/34-arm-shirt-mit-chiffon-03.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_1100_100/pdmain/34-arm-shirt-mit-chiffon-100.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_1100_101/pdmain/34-arm-shirt-mit-chiffon-101.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_1100_102/pdmain/34-arm-shirt-mit-chiffon-102.jpg",https://www.gerryweber.com/de-de/p/11_471060-19676_1100-34-arm-shirt-mit-chiffon/,4049598209279,"3/4 Arm Shirt mit Chiffon",Black,49.99,Blusenshirts,"Vielseitig und feminin! Figurumspielendes Shirt mit zartem Chiffon-Overlayer in der Front.",471060-19676_1100
11_471060-19676_9700-34-arm-shirt-mit-chiffon.txt,"https://pic.gerryweber.com/static/i/11_471060-19676_9700_01/pdmain/34-arm-shirt-mit-chiffon-01.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_9700_02/pdmain/34-arm-shirt-mit-chiffon-02.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_9700_03/pdmain/34-arm-shirt-mit-chiffon-03.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_9700_100/pdmain/34-arm-shirt-mit-chiffon-100.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_9700_101/pdmain/34-arm-shirt-mit-chiffon-101.jpg,https://pic.gerryweber.com/static/i/11_471060-19676_9700_102/pdmain/34-arm-shirt-mit-chiffon-102.jpg",https://www.gerryweber.com/de-de/p/11_471060-19676_9700-34-arm-shirt-mit-chiffon/,4049598209354,"3/4 Arm Shirt mit Chiffon",Offwhite,49.99,Blusenshirts,"Vielseitig und feminin! Figurumspielendes Shirt mit zartem Chiffon-Overlayer in der Front.",471060-19676_9700
11_471062-19675_8052-34-arm-shirt-mit-allover-print.txt,"https://pic.gerryweber.com/static/i/11_471062-19675_8052_01/pdmain/34-arm-shirt-mit-allover-print-01.jpg,https://pic.gerryweber.com/static/i/11_471062-19675_8052_02/pdmain/34-arm-shirt-mit-allover-print-02.jpg,https://pic.gerryweber.com/static/i/11_471062-19675_8052_03/pdmain/34-arm-shirt-mit-allover-print-03.jpg,https://pic.gerryweber.com/static/i/11_471062-19675_8052_100/pdmain/34-arm-shirt-mit-allover-print-100.jpg,https://pic.gerryweber.com/static/i/11_471062-19675_8052_101/pdmain/34-arm-shirt-mit-allover-print-101.jpg,https://pic.gerryweber.com/static/i/11_471062-19675_8052_102/pdmain/34-arm-shirt-mit-allover-print-102.jpg",https://www.gerryweber.com/de-de/p/11_471062-19675_8052-34-arm-shirt-mit-allover-print/,4049598222155,"3/4 Arm Shirt mit Allover-Print","Cobalt Blue gemustert",29.99,"3/4 Arm Shirts","Eine tolle Alternative zur Bluse! Das Shirt zeigt sich äußerst feminin mit gelegten Falten am Ausschnitt und locker fallendem 3/4 Arm. Der grafische Allover-Print lässt sich easy kombinieren.",471062-19675_8052
